CH_ID	Name	Label
ch1	<Ahmad_Qavam>	"احمد قوام السلطنه"@fas
ch2	<Mozaffar_Firouz>	"مظفر فيروز"@fas
ch3	<Mohammad-Javad_Bahonar>	"شهید آیت الله باهنر"@fas
ch4	<Ali_Khamenei>	"علی حسینی خامنه"@fas
ch5	<Ali_Jannati>	"علي جنتي"@fas
ch6	<Faezeh_Hashemi>	
ch7	<Mehdi_Hashemi_Rafsanjani>	
ch8	<Yasser_Hashemi_Rafsanjani>	
ch9	<Mohsen_Hashemi>	
ch10	<Abdolali_Bazargan>	
ch11	<Mahmoud_Ahmadinejad>	
ch12	<Mohammad_Bagher_Ghalibaf>	
ch14	<Mohammad-Javad_Bahonar>	
ch15	<Fazlollah_Zahedi>	
ch16	<Hashemi_Rafsanjani>	
ch17	<Mohammad_Khatami>	
ch19	<Mojtaba_Khamenei>	
ch20	<Ali_Khamenei>		
ch26	<Rezā_Shāh>	
ch27	<Ashraf_Pahlavi>	
ch28	<Mohammad_Ali_Foroughi>	
ch29	<Shams_Pahlavi>	
ch30	<Ali_Reza_Pahlavi_I>	
ch31	<Mohammad_Reza_Pahlavi>	
ch32	<Iran_Teymourtash>	

