P_ID	Name	Label
p3	<Morteza_Mohammadkhan>	"مرتضي محمدخان"@fas
p4	<Ali_Larijani>	"علي املي لاريجاني"@fas
p5	<Mohammadreza_Nematzadeh>	"محمدرضا نعمت‌زاده"@fas
p13	<Ahmad_Sadegh-Bonab>	"Ahmad"
p14	<Mohammad_Bahrami>	"Mohammad Bahrami"@eng
p16	<Ali_Jannati>	"علی جنتی"@fas
p18	<Mohammad-Reza_Mahdavi_Kani>	"محمد رضا مهدوي كني"@fas
p20	<Alireza_Marandi>	"علي رضا مرندي"@fas
p22	<Marzieh_Vahid-Dastjerdi>	"مرضیهٔ وحید دستجردی"@fas
p23	<Ahmad_Tavakkoli>	"احمد توکلی"@fas
p24	<Akbar_Hashemi_Rafsanjani>	"Ali Akbar Hāshemī Rafsanjānī"@eng
p25	<Bijan_Namdar_Zangeneh>	"بيژن زنگنه"@fas
p26	<Tahmasb_Mazaheri>	"طهماسب مظاهری"@fas
p27	<Parviz_Kazemi>	"پرويز كاظمي"@fas
p37	<Mahmoud_Ahmadinejad>	"احمدی‌نژاد"@fas
p42	<Mohammad_Saeedikia>	"محمد سعیدی کیا"@fas
p44	<Mohammad_Salimi>	"محمد سلیمی"@fas
p46	<Mehdi_Ghazanfari>	"مهدی غضنفری"@fas
p48	<Zahra_Shojaei>	"Shojaei"
p49	<Alireza_Tahmasbi>	"علیرضا طهماسبی"@fas
p50	<Ali_Akbar_Mohtashamipur>	"علي اكبر محتشمي"@fas
p53	<Abdollah_Nouri>	"عبدالله نوري"@fas
p54	<Jahangir_Amuzegar>	"جهانگير آموزگار"@fas
p55	<Ahmad_Khorram>	"احمد خرم"@fas
p56	<Esmail_Shooshtari>	"محمداسماعیل شوشتری"@fas
p57	<Shamseddin_Hosseini>	"سید شمس‌الدین حسینی"@fas
p58	<Habibollah_Bitaraf>	"حبیب الله بیطرف"@fas
p59	<Sadegh_Mahsouli>	"محمدصادق محصولي"@fas
p61	<Kazem_Vaziri_Hamaneh>	"Kazem Vaziri Hamane"@eng
p62	<Kamal_Habibollahi>	"کمال الدین میرحبیب اللهی"@fas
p63	<Mohammad-Reza_Bahonar>	"محمد رضا باهنر"@fas
p66	<Hassan_Rouhani>	"حسن فریدون"@fas
p67	<Mostafa_Pourmohammadi>	"مصطفي پورمحمدي"@fas
p68	<Hossein_Kamali>	"حسین کمالی"@fas
p70	<Kamal_Kharazi>	"كمال خرازي"@fas
p73	<Ali_Akbar_Moinfar>	"Ali"
p74	<Ali_Shamkhani>	"شمخانی"@fas
p75	<Ahmad_Vahidi>	"سردار احمد وحیدی"@fas
p76	<Masoud_Pezeshkian>	"مسعود پزشكيان"@fas
p78	<Manouchehr_Ganji>	"Ganji"
p79	<Ahmad_Masjed-Jamei>	"احمد مسجد جامعي"@fas
p82	<Majid_Namjoo>	"مجيد نامجو"@fas
p85	<Mohammad_Javad_Zarif>	"جواد ظريف"@fas
p86	<Mohammad_Ardakani>	"Ardakani"
p90	<Reza_Sheykholeslam>	"عبدالرضا شيخ الاسلامي"@fas
p91	<Ali_Akbar_Mehrabian>	"علي اكبر محرابيان"@fas
p93	<Eshaq_Jahangiri>	"اسحاق جهانگيري"@fas
p95	<Kamran_Bagheri_Lankarani>	"کامران باقری لنکرانی"@fas
p96	<Gholam_Reza_Aghazadeh>	"غلامرضا اقازاده"@fas
p97	<Mohammad_Soleimani>	"محمد سلیمانی"@fas
p98	<Mohammad_Jahromi>	"Mohammad"
p100	<Mohammad_Reza_Rahimi>	"محمد رضا رحیمی"@fas
p103	<Abbas_Ahmad_Akhoundi>	"عباس احمد آخوندی"@fas
p104	<Ardeshir_Zahedi>	"اردشير زاهدي"@fas
p105	<Manouchehr_Mottaki>	"متکی"@fas
p107	<Masoud_Mir_Kazemi>	"مسعود میر کاظمی"@fas
p108	<Reza_Malekzadeh>	"رضا ملك زاده"@fas
p109	<Ata'ollah_Mohajerani>	"سید عطاالله مهاجرانی"@fas
p113	<Esfandiar_Rahim_Mashaei>	"اسفندیار رحیم‌مشایی"@fas
