U_ID	Name	Label
u1	<University_of_Tehran>	"دانشگاه تهران"@fas
u2	<K.N.Toosi_University_of_Technology>	"دانشگاه خواجه نصیر"@fas
u3	<San_Jose_State_University>	"دانشگاه ايالتي سان خوزه"@fas
u4	<University_of_Pune>	"University of Pooma"@eng
u5	<California_Polytechnic_State_University>	
u7	<Pantheon-Sorbonne_University>	
u8	<University_of_Nottingham>	
u10	<École_Centrale_Paris>	
u12	<National_War_College>	
u14	<Shiraz_University>	
u17	<California_State_University,_Los_Angeles>	
u21	<Glasgow_Caledonian_University>	
u23	<University_of_Glasgow>	
u24	<Qom_Hawza>	
u26	<University_of_Houston>	
u27	<Shahid_Chamran_University_of_Ahvaz>	
u30	<Texas_A&M_University>	
u31	<University_of_California,_Berkeley>	
u32	<University_of_Kentucky>	
u33	<University_of_Cambridge>	
u34	<San_Francisco_State_University>	
u35	<University_of_Denver>	
u36	<Sharif_University_of_Technology>	
u37	<Shahid_Bahonar_University_of_Kerman>	
u38	<Shiraz_University_of_Medical_Sciences>	
u41	<Islamic_Azad_University>	
u42	<University_of_Oxford>	
u44	<University_of_Paris>	
u45	<Utah_State_University>	
u46	<Tarbiat_Modares_University>	
u47	<University_of_Isfahan>	
u51	<Massachusetts_Institute_of_Technology>	
u55	<Johns_Hopkins_University>	
u60	<Cornell_University>	
u64	<Ferdowsi_University_of_Mashhad>	
u69	<Imam_Hossein_University>	
u70	<Baylor_University>	
u72	<Supélec>	
u73	<American_University_of_Beirut>	
u76	<University_of_Saskatchewan>	
u77	<Allameh_Tabatabaei_University>	
u79	<University_of_Neuchâtel>	
u80	<Sciences_Po>	
u84	<Stanford_University>	
u86	<Shahid_Beheshti_University>	
u87	<Iowa_State_University>	
u90	<University_of_Lausanne>	
u95	<Tehran_School_of_Political_Science>	
