U_ID	Name	Label
u1	<University_of_Tehran>	"دانشگاه تهران"@fas
u2	<K.N.Toosi_University_of_Technology>	"دانشگاه خواجه نصیر"@fas
u3	<San_Jose_State_University>	"دانشگاه ايالتي سان خوزه"@fas
u4	<University_of_Pune>	"University of Pooma"@eng
u5	<California_Polytechnic_State_University>	
u6	<University_of_Tehran>	
u7	<Pantheon-Sorbonne_University>	
u8	<University_of_Nottingham>	
u9	<University_of_Tehran>	
u10	<École_Centrale_Paris>	
u11	<University_of_Tehran>	
u12	<National_War_College>	
u13	<University_of_Tehran>	
u14	<Shiraz_University>	
u15	<University_of_Tehran>	
u16	<University_of_Tehran>	
u17	<California_State_University,_Los_Angeles>	
u18	<University_of_Tehran>	
u19	<University_of_Tehran>	
u20	<University_of_Tehran>	
u21	<Glasgow_Caledonian_University>	
u22	<University_of_Tehran>	
u23	<University_of_Glasgow>	
u24	<Qom_Hawza>	
u25	<University_of_Tehran>	
u26	<University_of_Houston>	
u27	<Shahid_Chamran_University_of_Ahvaz>	
u28	<University_of_Tehran>	
u29	<University_of_Tehran>	
u30	<Texas_A&M_University>	
u31	<University_of_California,_Berkeley>	
u32	<University_of_Kentucky>	
u33	<University_of_Cambridge>	
u34	<San_Francisco_State_University>	
u35	<University_of_Denver>	
u36	<Sharif_University_of_Technology>	
u37	<Shahid_Bahonar_University_of_Kerman>	
u38	<Shiraz_University_of_Medical_Sciences>	
u39	<University_of_Tehran>	
u40	<University_of_Tehran>	
u41	<Islamic_Azad_University>	
u42	<University_of_Oxford>	
u43	<University_of_Tehran>	
u44	<University_of_Paris>	
u45	<Utah_State_University>	
u46	<Tarbiat_Modares_University>	
u47	<University_of_Isfahan>	
u48	<Shiraz_University>	
u49	<University_of_Tehran>	
u50	<Sharif_University_of_Technology>	
u51	<Massachusetts_Institute_of_Technology>	
u52	<University_of_Tehran>	
u53	<University_of_Tehran>	
u54	<Sharif_University_of_Technology>	
u55	<Johns_Hopkins_University>	
u56	<University_of_Tehran>	
u57	<University_of_Tehran>	
u58	<University_of_Tehran>	
u59	<Sharif_University_of_Technology>	
u60	<Cornell_University>	
u61	<Tarbiat_Modares_University>	
u62	<University_of_Tehran>	
u63	<Qom_Hawza>	
u64	<Ferdowsi_University_of_Mashhad>	
u65	<University_of_Tehran>	
u66	<University_of_Isfahan>	
u67	<Tarbiat_Modares_University>	
u68	<University_of_Tehran>	
u69	<Imam_Hossein_University>	
u70	<Baylor_University>	
u71	<University_of_Tehran>	
u72	<Supélec>	
u73	<American_University_of_Beirut>	
u74	<University_of_Paris>	
u75	<Shiraz_University>	
u76	<University_of_Saskatchewan>	
u77	<Allameh_Tabatabaei_University>	
u78	<University_of_Tehran>	
u79	<University_of_Neuchâtel>	
u80	<Sciences_Po>	
u81	<University_of_Isfahan>	
u82	<University_of_Tehran>	
u83	<University_of_Tehran>	
u84	<Stanford_University>	
u85	<University_of_Tehran>	
u86	<Shahid_Beheshti_University>	
u87	<Iowa_State_University>	
u88	<Shahid_Chamran_University_of_Ahvaz>	
u89	<University_of_Tehran>	
u90	<University_of_Lausanne>	
u91	<Shiraz_University>	
u92	<University_of_Tehran>	
u93	<University_of_Tehran>	
u94	<University_of_Tehran>	
u95	<Tehran_School_of_Political_Science>	
u96	<American_University_of_Beirut>	
u97	<Tarbiat_Modares_University>	
