P_ID	Name	Label
p42	<Mohammad_Saeedikia>	"محمد سعیدی کیا"@fas
p46	<Mehdi_Ghazanfari>	"مهدی غضنفری"@fas
p34	<Dariush_Forouhar>	"داريوش فروهر"@fas
p33	<Mozaffar_Alam>	"Mozzafar Alam"@eng
p40	<Ali_Amini>	"علی امینی"@fas
p39	<Abolqasem_Najm>	"نجم الملك"@fas
p38	<Hekmat_E_Shirazi>	"Shirazi"
p35	<Shapour_Bakhtiar>	"دکتر شاپور بختیار"@fas
p30	<Ahmad_Hussein_Adl>	"Ahmad"
p28	<Mehdi_Bazargan>	"مهدی بازرگان"@fas
p29	<Mohammad-Taqi_Bahar>	"ملک الشعراء بهار"@fas
p32	<Hossein_Navab>	"Hossein"
p25	<Bijan_Namdar_Zangeneh>	"بيژن زنگنه"@fas
p24	<Akbar_Hashemi_Rafsanjani>	"Ali Akbar Hāshemī Rafsanjānī"@eng
p23	<Ahmad_Tavakkoli>	"احمد توکلی"@fas
p22	<Marzieh_Vahid-Dastjerdi>	"مرضیهٔ وحید دستجردی"@fas
p20	<Alireza_Marandi>	"علي رضا مرندي"@fas
p27	<Parviz_Kazemi>	"پرويز كاظمي"@fas
p26	<Tahmasb_Mazaheri>	"طهماسب مظاهری"@fas
p16	<Ali_Jannati>	"علی جنتی"@fas
p15	<Mohammad-Ali_Rajai>	"رجایی"@fas
p13	<Ahmad_Sadegh-Bonab>	"Ahmad"
p14	<Mohammad_Bahrami>	"Mohammad Bahrami"@eng
p18	<Mohammad-Reza_Mahdavi_Kani>	"محمد رضا مهدوي كني"@fas
p17	<Hossein_Fatemi>	"سیدحسین فاطمی"@fas
p5	<Mohammadreza_Nematzadeh>	"محمدرضا نعمت‌زاده"@fas
p4	<Ali_Larijani>	"علي املي لاريجاني"@fas
p12	<Gholam_Hossein_Sadighi>	"غلامحسين صديقي"@fas
p10	<Hosein_Dadgar>	"Dadgar"
p9	<Firouz_Nosrat-ed-Dowleh_III>	"Firouz Nosrat-ed-Dowleh III"@eng
p2	<Abbas_Adham>	"Abbas Adham"@eng
p1	<Jafar_Sharif-Emami>	"شریف امامی"@fas
p3	<Morteza_Mohammadkhan>	"مرتضي محمدخان"@fas
p109	<Ata'ollah_Mohajerani>	"سید عطاالله مهاجرانی"@fas
p108	<Reza_Malekzadeh>	"رضا ملك زاده"@fas
p107	<Masoud_Mir_Kazemi>	"مسعود میر کاظمی"@fas
p106	<Mirza_Nasrullah_Khan>	"نصرالله مشیرالدوله"@fas
p105	<Manouchehr_Mottaki>	"متکی"@fas
p104	<Ardeshir_Zahedi>	"اردشير زاهدي"@fas
p111	<de/Ebrahim_Alam>	"Ebrahim Alam"@de
p110	<Ali_Kordan>	"علي كردان"@fas
p98	<Mohammad_Jahromi>	"Mohammad"
p99	<Hassan_Habibi>	"حسن حبيبي"@fas
p97	<Mohammad_Soleimani>	"محمد سلیمانی"@fas
p96	<Gholam_Reza_Aghazadeh>	"غلامرضا اقازاده"@fas
p95	<Kamran_Bagheri_Lankarani>	"کامران باقری لنکرانی"@fas
p103	<Abbas_Ahmad_Akhoundi>	"عباس احمد آخوندی"@fas
p101	<Parviz_Varjavand>	"پرویز ورجاوند"@fas
p86	<Mohammad_Ardakani>	"Ardakani"
p84	<Isa_Kalantari>	"Kalantari"
p83	<Abbas_Aram>	"Abbas Aram"
p94	<Ali-Akbar_Zargham>	"AliAkbar Zargham"@eng
p93	<Eshaq_Jahangiri>	"اسحاق جهانگيري"@fas
p91	<Ali_Akbar_Mehrabian>	"علي اكبر محرابيان"@fas
p90	<Reza_Sheykholeslam>	"عبدالرضا شيخ الاسلامي"@fas
p88	<Hasan_Arfa>	"حسن ارفع"@fas
p87	<Ahmad_Sayyed_Javadi>	"احمد صدرحاج سید جوادی"@fas
p79	<Ahmad_Masjed-Jamei>	"احمد مسجد جامعي"@fas
p78	<Manouchehr_Ganji>	"Ganji"
p76	<Masoud_Pezeshkian>	"مسعود پزشكيان"@fas
p82	<Majid_Namjoo>	"مجيد نامجو"@fas
p81	<Hasan_Arsanjani>	"حسن ارسنجاني"@fas
p69	<Abdullah_Entezam>	"عبدالله انتظام وزیری"@fas
p68	<Hossein_Kamali>	"حسین کمالی"@fas
p75	<Ahmad_Vahidi>	"سردار احمد وحیدی"@fas
p73	<Ali_Akbar_Moinfar>	"Ali"
p71	<Mohammad_Reza_Ameli_Tehrani>	"محمد رضا عاملی تهرانی"@fas
p70	<Kamal_Kharazi>	"كمال خرازي"@fas
p60	<Cabinet_of_Iran>	"کابینه ایران"@fas
p59	<Sadegh_Mahsouli>	"محمدصادق محصولي"@fas
p67	<Mostafa_Pourmohammadi>	"مصطفي پورمحمدي"@fas
p65	<Jamal_Karimi-Rad>	"جمال كريمي راد"@fas
p62	<Kamal_Habibollahi>	"کمال الدین میرحبیب اللهی"@fas
p56	<Esmail_Shooshtari>	"محمداسماعیل شوشتری"@fas
p58	<Habibollah_Bitaraf>	"حبیب الله بیطرف"@fas
p57	<Shamseddin_Hosseini>	"سید شمس‌الدین حسینی"@fas
p49	<Alireza_Tahmasbi>	"علیرضا طهماسبی"@fas
p50	<Ali_Akbar_Mohtashamipur>	"علي اكبر محتشمي"@fas
p48	<Zahra_Shojaei>	"Shojaei"
p47	<Gholam_Hossein_Jahanshahi>	"Jahanshahi"
p55	<Ahmad_Khorram>	"احمد خرم"@fas
p54	<Jahangir_Amuzegar>	"جهانگير آموزگار"@fas
p53	<Abdollah_Nouri>	"عبدالله نوري"@fas
p51	<Mohammad-Javad_Bahonar>	"آيت الله دكتر باهنر"@fas
p173	<Ali_Nikzad>	"نیکزاد"@fas
p172	<Saeed_Emami>	"سعيدامامي"@fas
p170	<Mahmoud_Hessaby>	"دکتر محمود حسابی"@fas
p175	<Haji_Washington>	"حاجي واشنگتن"@fas
p176	<Mohammad_Shariatmadari>	"Mohammad Shariatmadari"@eng
p162	<Hushang_Ansary>	"هوشنگ انصاري"@fas
p168	<Ebrahim_Yazdi>	"ابراهم يزدي"@fas
p166	<Ghorbanali_Dorri-Najafabadi>	"قربانعلی دری نجف ابادی"@fas
p167	<Ali_Khamenei>	"ایه‌الله خامنه‌ای"@fas
p165	<Parviz_Fattah>	"سید پرویز فتاح"@fas
p156	<Gholamreza_Nikpey>	"غلامرضا نيك پي"@fas
p161	<Ali_Tayebnia>	"Ali Tayebnia"
p159	<Habibollah_Asgaroladi>	"حبيب الله عسكراولادي"@fas
p158	<Reza_Taghipour>	"رضا تقی‌پور انواری"@fas
p157	<Mohammad_Mehdi_Zahedi>	"محمد‌مهدی زاهدی"@fas
p152	<Nematollah_Nassiri>	"سرلشكر نصيري"@fas
p151	<Kazem_Sami>	"دکتر سامی"@fas
p155	<Abdolhossein_Hazhir>	"هژير"@fas
p154	<Ali_Mohammad_Besharati>	"Ali Mohammad Besharati"@eng
p153	<Asadollah_Abbasi>	"Asadollah"
p146	<Hashemi_Rafsanjani>	"حجت الاسلام هاشمی رفسنجانی"@fas
p145	<Gholam-Hossein_Elham>	"غلامحسين الهام"@fas
p144	<Mostafa_Mohammad-Najjar>	"محمد مصطفي نجار"@fas
p143	<Ali_Younesi>	"علي يونسي"@fas
p142	<Jamshid_Amouzegar>	"جمشید اموزگار"@fas
p150	<Asadollah_Alam>	"امير اسدالله علم"@fas
p149	<Hassan_Pakravan>	"حسن پاکروان"@fas
p147	<Ali_Fallahian>	"فلاحیان"@fas
