P_ID	U_ID
p1	u1
p3	u2
p3	u3
p3	u4
p5	u5
p17	u1
p19	u7
p23	u8
p25	u1
p28	u10
p40	u1
p43	u12
p45	u1
p49	u14
p51	u1
p54	u1
p54	u17
p58	u1
p63	u1
p65	u1
p66	u21
p66	u1
p66	u23
p66	u24
p70	u1
p70	u26
p74	u27
p76	u1
p77	u1
p77	u30
p77	u31
p78	u32
p78	u33
p85	u34
p85	u35
p93	u36
p93	u37
p95	u38
p96	u1
p100	u1
p100	u41
p100	u42
p101	u1
p101	u44
p104	u45
p109	u46
p109	u47
p109	u14
p114	u1
p116	u36
p116	u51
p119	u1
p130	u1
p131	u36
p133	u55
p133	u1
p135	u1
p136	u1
p138	u36
p142	u60
p145	u46
p145	u1
p146	u24
p151	u64
p151	u1
p155	u47
p157	u46
p164	u1
p165	u69
p168	u70
p168	u1
p170	u72
p170	u73
p170	u44
p181	u14
p181	u76
p189	u77
p191	u1
p192	u79
p192	u80
p194	u47
p194	u1
p201	u1
p201	u84
p202	u1
p204	u86
p205	u87
p211	u27
p211	u1
p222	u90
p226	u14
p229	u1
p232	u1
p233	u1
p234	u95
p243	u73
p244	u46
