p_ID	A_ID	
p1	a1
p3	a2
p4	a3
p9	a4
p12	a5
p15	a2
p15	a7
p17	a5
p18	a9
p19	a5
p23	a11
p24	a12
p25	a13
p25	a12
p28	a7
p34	a16
p34	a17
p35	a5
p37	a19
p41	a20
p50	a21
p51	a2
p59	a23
p63	a3
p66	a9
p66	a2
p67	a9
p67	a28
p67	a29
p70	a13
p71	a17
p79	a32
p85	a28
p87	a7
p93	a12
p99	a12
p99	a7
p99	a2
p100	a39
p101	a5
p104	a1
p105	a3
p109	a12
p114	a1
p116	a13
p116	a12
p118	a5
p121	a48
p125	a4
p126	a48
p127	a28
p133	a11
p136	a28
p136	a54
p139	a55
p140	a5
p140	a7
p141	a17
p141	a1
p141	a60
p142	a1
p145	a19
p146	a9
p148	a64
p151	a7
p155	a66
p159	a11
p167	a9
p167	a2
p168	a7
p169	a28
p174	a55
p177	a7
p181	a13
p183	a21
p192	a5
p194	a21
p201	a79
p204	a80
p204	a2
p205	a19
p207	a4
p210	a84
p211	a2
p213	a86
p226	a79
p229	a60
p233	a48
p234	a4
p238	a28
p244	a3
p246	a11
